"Player,Pos,Dist.,3P"
"Donte DiVincenzo\divindo01,SG,16.4,.541"
"Luka Don_i_\doncilu01,PG,14.9,.381"
"Luguentz Dort\dortlu01,SG,15.4,.534"
"Damyean Dotson\dotsoda01,SG,17.8,.521"
"Devon Dotson\dotsode01,PG,9.3,.000"
"Sekou Doumbouya\doumbse01,PF,13.5,.449"
"PJ Dozier\doziepj01,SG,14.3,.412"
"Goran Dragi_\dragigo01,PG,15.1,.410"
"Andre Drummond\drumman01,C,3.7,.021"
"Jared Dudley\dudleja01,PF,21.1,.714"
"Kevin Durant\duranke01,PF,14.9,.315"
"Anthony Edwards\edwaran01,SG,14.3,.419"
"Carsen Edwards\edwarca01,SG,16.7,.506"
"CJ Elleby\ellebcj01,SF,17.6,.618"
"Henry Ellenson\ellenhe01,PF,17.6,.643"
"Wayne Ellington\ellinwa01,SG,21.9,.800"
"Joel Embiid\embiijo01,C,11.7,.161"
"James Ennis\ennisja01,SF,13.9,.443"
"Drew Eubanks\eubandr01,C,5.7,.011"
"Dante Exum\exumda01,SG,13.1,.423"
"Tacko Fall\fallta01,C,3.2,.000"
"Derrick Favors\favorde01,C,4.9,.006"
"Cristiano Felício\feliccr01,C,1.0,.000"
"Terrance Ferguson\fergute01,SG,19.7,.714"
"Bruno Fernando\fernabr01,C,4.1,.071"
"Yogi Ferrell\ferreyo01,PG,17.4,.429"
"Dorian Finney-Smith\finnedo01,PF,17.1,.645"
"Malachi Flynn\flynnma01,PG,20.0,.585"
"Bryn Forbes\forbebr01,SG,20.7,.642"
"Trent Forrest\forretr01,PG,11.0,.250"
"Evan Fournier\fournev01,SF,17.2,.509"
"De'Aaron Fox\foxde01,PG,13.0,.298"
"Tim Frazier\fraziti01,PG,15.1,.250"
"Markelle Fultz\fultzma01,PG,11.4,.154"
"Wenyen Gabriel\gabriwe01,PF,8.0,.250"
"Daniel Gafford\gaffoda01,PF,3.3,.000"
"Danilo Gallinari\gallida01,PF,19.7,.561"
"Langston Galloway\gallola01,SG,19.3,.588"
"Darius Garland\garlada01,PG,12.7,.304"
"Marc Gasol\gasolma01,C,19.5,.637"
"Rudy Gay\gayru01,PF,16.5,.429"
"Paul George\georgpa01,SF,16.3,.445"
"Taj Gibson\gibsota01,PF,8.2,.210"
"Harry Giles\gilesha01,C,8.1,.141"
"Shai Gilgeous-Alexander\gilgesh01,SG,11.6,.301"
"Anthony Gill\gillan01,PF,19.0,.667"
"Rudy Gobert\goberru01,C,2.8,.008"
"Brandon Goodwin\goodwbr01,PG,16.6,.491"
"Aaron Gordon\gordoaa01,PF,14.9,.384"
"Eric Gordon\gordoer01,SG,17.1,.572"
"Devonte' Graham\grahade01,PG,21.3,.690"
"Jerami Grant\grantje01,SF,14.7,.367"
"Danny Green\greenda02,SF,21.3,.779"
"Draymond Green\greendr01,PF,12.3,.338"
"JaMychal Green\greenja01,PF,15.8,.534"
"Javonte Green\greenja02,SG,10.7,.315"
"Jeff Green\greenje02,C,14.6,.474"
"Josh Green\greenjo02,SG,10.6,.271"
"Blake Griffin\griffbl01,PF,16.9,.542"
"Kyle Guy\guyky01,PG,17.1,.574"
"Rui Hachimura\hachiru01,PF,12.5,.256"
"Ashton Hagans\haganas01,PG,,"
"Tyrese Haliburton\halibty01,PG,17.3,.507"
"Josh Hall\halljo01,SF,16.5,.478"
"R.J. Hampton\hamptrj01,PG,12.4,.294"
"Tim Hardaway Jr.\hardati02,SG,18.2,.578"
