"Player,Pos,3P,3PA"
"Mamadi Diakite\diakima01,PF,0.0,0.8"
"Hamidou Diallo\diallha01,SG,0.4,1.2"
"Gorgui Dieng\dienggo01,C,1.0,2.2"
"Spencer Dinwiddie\dinwisp01,SG,0.7,2.3"
"Donte DiVincenzo\divindo01,SG,2.0,5.1"
"Luka Don_i_\doncilu01,PG,2.9,8.0"
"Luguentz Dort\dortlu01,SG,2.0,6.0"
"Damyean Dotson\dotsoda01,SG,0.9,3.3"
"Devon Dotson\dotsode01,PG,0.0,0.0"
"Sekou Doumbouya\doumbse01,PF,0.4,1.8"
"PJ Dozier\doziepj01,SG,0.9,2.6"
"Goran Dragi_\dragigo01,PG,1.6,4.6"
"Andre Drummond\drumman01,C,0.0,0.3"
"Jared Dudley\dudleja01,PF,0.2,0.5"
"Kevin Durant\duranke01,PF,2.6,5.9"
"Anthony Edwards\edwaran01,SG,2.2,6.8"
"Carsen Edwards\edwarca01,SG,0.7,2.2"
"CJ Elleby\ellebcj01,SF,0.4,1.5"
"Henry Ellenson\ellenhe01,PF,1.0,4.5"
"Wayne Ellington\ellinwa01,SG,2.8,6.4"
"Joel Embiid\embiijo01,C,1.2,2.9"
"James Ennis\ennisja01,SF,1.1,2.4"
"Drew Eubanks\eubandr01,C,0.0,0.0"
"Dante Exum\exumda01,SG,0.3,1.8"
"Tacko Fall\fallta01,C,0.0,0.0"
"Derrick Favors\favorde01,C,0.0,0.0"
"Cristiano Felício\feliccr01,C,0.0,0.0"
"Terrance Ferguson\fergute01,SG,0.0,0.4"
"Bruno Fernando\fernabr01,C,0.0,0.1"
"Yogi Ferrell\ferreyo01,PG,1.5,4.5"
"Dorian Finney-Smith\finnedo01,PF,1.6,4.6"
"Malachi Flynn\flynnma01,PG,0.3,1.8"
"Bryn Forbes\forbebr01,SG,2.1,4.7"
"Trent Forrest\forretr01,PG,0.0,0.2"
"Evan Fournier\fournev01,SF,2.8,7.2"
"De'Aaron Fox\foxde01,PG,1.8,5.6"
"Tim Frazier\fraziti01,PG,0.0,0.7"
"Markelle Fultz\fultzma01,PG,0.5,2.0"
"Wenyen Gabriel\gabriwe01,PF,0.0,0.2"
"Daniel Gafford\gaffoda01,PF,0.0,0.0"
"Danilo Gallinari\gallida01,PF,2.1,5.1"
"Langston Galloway\gallola01,SG,1.0,2.1"
"Darius Garland\garlada01,PG,1.8,4.4"
"Marc Gasol\gasolma01,C,0.9,2.4"
"Rudy Gay\gayru01,PF,1.6,4.2"
"Paul George\georgpa01,SF,3.2,7.5"
"Taj Gibson\gibsota01,PF,0.2,0.7"
"Harry Giles\gilesha01,C,0.1,0.4"
"Shai Gilgeous-Alexander\gilgesh01,SG,2.0,4.9"
"Anthony Gill\gillan01,PF,0.1,0.6"
"Rudy Gobert\goberru01,C,0.0,0.1"
"Brandon Goodwin\goodwbr01,PG,0.6,2.0"
"Aaron Gordon\gordoaa01,PF,1.7,4.5"
"Eric Gordon\gordoer01,SG,2.6,7.8"
"Devonte' Graham\grahade01,PG,3.1,8.0"
"Jerami Grant\grantje01,SF,2.3,6.5"
"Danny Green\greenda02,SF,2.6,6.4"
"Draymond Green\greendr01,PF,0.5,1.9"
"JaMychal Green\greenja01,PF,1.5,3.7"
"Javonte Green\greenja02,SG,0.3,0.9"
"Jeff Green\greenje02,C,1.3,3.3"
"Josh Green\greenjo02,SG,0.1,0.6"
"Blake Griffin\griffbl01,PF,1.8,5.6"
"Kyle Guy\guyky01,PG,0.6,1.7"
"Rui Hachimura\hachiru01,PF,0.9,2.7"
"Ashton Hagans\haganas01,PG,0.0,0.0"
"Tyrese Haliburton\halibty01,PG,2.3,5.2"
"Josh Hall\halljo01,SF,0.1,1.4"
"R.J. Hampton\hamptrj01,PG,0.2,0.8"
"Tim Hardaway Jr.\hardati02,SG,3.0,7.7"
"James Harden\hardeja01,PG-SG,2.9,8.1"
"Maurice Harkless\harklma01,SF,0.4,1.0"
"Jared Harper\harpeja01,PG,0.0,0.0"
"Montrezl Harrell\harremo01,C,0.0,0.2"
"Gary Harris\harriga01,SG,1.3,3.9"
"Jalen Harris\harrija01,SG,0.3,0.5"
"Joe Harris\harrijo01,SF,3.3,6.7"
"Tobias Harris\harrito02,PF,1.5,3.8"
"Shaquille Harrison\harrish01,SG,0.0,0.1"
"Josh Hart\hartjo01,SF,1.3,4.0"
"Isaiah Hartenstein\harteis01,C,0.0,0.0"
"Jaxson Hayes\hayesja02,C,0.0,0.0"
"Killian Hayes\hayeski01,PG,0.7,2.9"
"Gordon Hayward\haywago01,SF,2.0,4.8"
"Juan Hernangómez\hernaju01,PF,1.0,3.1"
"Willy Hernangómez\hernawi01,C,0.0,0.3"
"Tyler Herro\herroty01,SG,1.8,5.7"
"Buddy Hield\hieldbu01,SG,4.0,10.4"
"George Hill\hillge01,PG,1.6,4.1"
"Solomon Hill\hillso01,PF,1.0,3.0"
"Nate Hinton\hintona01,SG,0.1,0.7"
"Aaron Holiday\holidaa01,PG,1.0,2.9"
"Jrue Holiday\holidjr01,PG,1.8,4.6"
"Justin Holiday\holidju01,SG,2.6,6.6"
"Richaun Holmes\holmeri01,C,0.0,0.2"
"Rodney Hood\hoodro01,SF,0.7,2.3"
"Al Horford\horfoal01,C,2.0,5.4"
"Talen Horton-Tucker\hortota01,SG,0.5,1.9"
"Danuel House\houseda01,SF,1.7,4.6"
"Dwight Howard\howardw01,C,0.1,0.3"
"Markus Howard\howarma02,SG,0.2,1.3"
"Kevin Huerter\huertke01,SG,2.1,5.7"
"Elijah Hughes\hugheel01,SF,0.4,1.3"
"De'Andre Hunter\huntede01,SF,1.6,4.4"
"Chandler Hutchison\hutchch01,SF,0.1,0.4"
"Serge Ibaka\ibakase01,C,1.0,2.8"
"Andre Iguodala\iguodan01,SF,1.0,3.0"
"Ersan _lyasova\ilyaser01,F,0.0,0.7"
"Joe Ingles\inglejo01,SF,2.7,5.5"
"Brandon Ingram\ingrabr01,SF,2.4,6.2"
"Kyrie Irving\irvinky01,PG,2.9,7.1"
"Wesley Iwundu\iwundwe01,SF,0.1,1.0"
"Frank Jackson\jacksfr01,PG,1.0,2.4"
"Josh Jackson\jacksjo02,SG,1.1,4.1"
"Justin Jackson\jacksju01,SF,1.0,3.2"
"Reggie Jackson\jacksre01,SG,1.5,3.5"
"Justin James\jamesju01,SF,0.2,0.7"
"LeBron James\jamesle01,PG,2.4,6.5"
"DaQuan Jeffries\jeffrda01,SG,0.6,1.8"
"Ty Jerome\jeromty01,SG,2.2,5.1"
"Isaiah Joe\joeis01,SG,1.0,2.9"
"Alize Johnson\johnsal02,F,0.0,1.0"
"Cameron Johnson\johnsca02,PF,2.0,5.4"
"James Johnson\johnsja01,PF,0.5,2.1"
"Keldon Johnson\johnske04,SF,0.9,2.7"
"Stanley Johnson\johnsst04,PF,0.7,1.8"
"Tyler Johnson\johnsty01,SG,1.2,3.1"
"Nikola Joki_\jokicni01,C,1.5,3.6"
"Damian Jones\jonesda03,C,0.0,0.0"
"Derrick Jones Jr.\jonesde02,SF,0.9,2.7"
"Mason Jones\jonesma05,SG,0.9,2.5"
"Tre Jones\jonestr01,PG,0.1,0.1"
"Tyus Jones\jonesty01,PG,0.7,2.3"
"DeAndre Jordan\jordade01,C,0.0,0.0"
"Cory Joseph\josepco01,PG,0.7,2.1"
"Mfiondu Kabengele\kabenmf01,PF,0.2,0.8"
"Frank Kaminsky\kaminfr01,C,0.8,2.0"
"Enes Kanter\kanteen01,C,0.0,0.0"
"Luke Kennard\kennalu01,SG,1.6,3.3"
"Maxi Kleber\klebima01,PF,1.9,4.2"
"Nathan Knight\knighna01,PF,0.3,0.8"
"Kevin Knox\knoxke01,SF,1.0,2.5"
"John Konchar\konchjo01,SG,0.4,1.1"
"Furkan Korkmaz\korkmfu01,SG,1.7,4.6"
"Luke Kornet\kornelu01,PF,0.6,1.9"
"Rodions Kurucs\kurucro01,SF-PF,0.2,1.1"
"Kyle Kuzma\kuzmaky01,SF,2.0,5.5"
"Anthony Lamb\lamban01,SF,0.4,2.4"
"Jeremy Lamb\lambje01,SG,1.6,3.7"
"Zach LaVine\lavinza01,SG,3.5,8.0"
"Jake Layman\laymaja01,SF,0.6,2.0"
"Jalen Lecque\lecquja01,PG,0.0,0.3"
"Damion Lee\leeda03,SG,1.4,3.6"
"Saben Lee\leesa01,PG,0.2,0.4"
"Alex Len\lenal01,C,0.2,0.6"
"Kawhi Leonard\leonaka01,SF,2.0,5.0"
"Meyers Leonard\leoname01,C,1.0,2.3"
"Caris LeVert\leverca01,SG,2.0,5.7"
"Kira Lewis Jr.\lewiski01,PG,0.7,2.0"
"Damian Lillard\lillada01,PG,4.2,11.1"
"Nassir Little\littlna01,PF,0.8,2.0"
"Kevon Looney\looneke01,C,0.1,0.3"
"Brook Lopez\lopezbr01,C,1.5,4.4"
"Robin Lopez\lopezro01,C,0.1,0.3"
"Kevin Love\loveke01,PF,1.0,3.0"
"Kyle Lowry\lowryky01,PG,2.8,7.0"
"Timothé Luwawu-Cabarrot\luwawti01,SF,1.5,4.3"
"Trey Lyles\lylestr01,PF,0.6,1.7"
"Will Magnay\magnawi01,C,0.0,1.0"
"Thon Maker\makerth01,C,0.0,0.3"
"Théo Maledon\maledth01,PG,1.7,4.5"
"Karim Mané\maneka01,PG,0.1,0.2"
"Terance Mann\mannte01,SG,0.4,1.1"
"Nico Mannion\mannini01,PG,1.1,2.8"
"Boban Marjanovi_\marjabo01,C,0.0,0.2"
"Lauri Markkanen\markkla01,PF,2.7,7.1"
"Naji Marshall\marshna01,SF,0.0,0.3"
"Caleb Martin\martica02,SF,0.6,2.0"
"Cody Martin\martico01,SF,0.3,1.0"
"Kelan Martin\martike03,SF,0.1,0.6"
"Kenyon Martin Jr.\martike04,SF,0.4,1.2"
"Frank Mason III\masonfr01,PG,0.5,1.3"
"Garrison Mathews\mathega01,SG,1.5,3.5"
"Dakota Mathias\mathida01,SG,1.0,3.3"
"Wesley Matthews\matthwe02,SG,1.1,3.2"
"Tyrese Maxey\maxeyty01,SG,0.5,1.5"
"Skylar Mays\mayssk01,SG,0.5,1.3"
"Patrick McCaw\mccawpa01,SF,0.0,0.0"
"CJ McCollum\mccolcj01,SG,4.2,10.4"
"T.J. McConnell\mccontj01,PG,0.2,0.6"
"Jaden McDaniels\mcdanja02,PF,1.0,2.8"
"Jalen McDaniels\mcdanja01,SF,0.4,1.3"
"Doug McDermott\mcderdo01,PF,1.7,4.5"
"Sean McDermott\mcderse01,SF,0.5,1.8"
"JaVale McGee\mcgeeja01,C,0.2,0.6"
